t_when	server	clan_info	avg_dps	group_tianfu	role_name	Duration
2017/8/24 10:48	10901	Immortals	293565	{"125547": [100, -1, -1], "387687": [207, -1, -1], "446198": [207, -1, -1], "383516": [100, -1, -1], "107854": [100, -1, -1], "117197": [207, -1, -1], "374047": [207, -1, -1], "111199": [207, -1, -1], "111983": [100, -1, -1], "217036": [207, -1, -1], "281983": [214, -1, -1], "109452": [1, -1, -1], "246394": [207, -1, -1], "433043": [114, -1, -1], "109417": [207, -1, -1], "288780": [207, -1, -1], "193000": [100, -1, -1], "112505": [100, -1, -1], "279445": [207, -1, -1], "113514": [207, -1, -1], "121880": [100, -1, -1], "284124": [207, -1, -1], "392194": [100, -1, -1], "121341": [1, -1, -1], "109425": [207, -1, -1], "109408": [114, -1, -1], "114996": [100, -1, -1], "285838": [20, -1, -1], "112586": [207, -1, -1], "110256": [114, -1, -1], "132035": [1, -1, -1], "109486": [207, -1, -1], "107811": [207, -1, -1], "127030": [100, -1, -1], "265322": [207, -1, -1], "147780": [207, -1, -1], "277202": [1, -1, -1], "121836": [1, -1, -1], "112552": [100, -1, -1], "111178": [100, -1, -1]}	SMS	0:06:11
2017/8/25 14:57	10101	EvoCN	284324	{"131992": [207, -1, -1], "294372": [100, -1, -1], "170996": [100, -1, -1], "140788": [207, -1, -1], "181697": [207, -1, -1], "398673": [100, -1, -1], "300505": [100, -1, -1], "323824": [207, -1, -1], "300508": [214, -1, -1], "365012": [100, -1, -1], "109239": [100, -1, -1], "110127": [20, -1, -1], "146133": [1, -1, -1], "723542": [1, -1, -1], "291093": [1, -1, -1], "335094": [100, -1, -1], "107929": [1, -1, -1], "193610": [207, -1, -1], "257285": [100, -1, -1], "145378": [10, -1, -1], "120993": [100, -1, -1], "493615": [100, -1, -1], "115701": [114, -1, -1], "193674": [207, -1, -1], "291099": [207, -1, -1], "107927": [207, -1, -1], "110133": [207, -1, -1], "301457": [100, -1, -1], "305141": [100, -1, -1], "141321": [207, -1, -1], "340658": [207, -1, -1], "109240": [207, -1, -1], "300055": [114, -1, -1], "107951": [114, -1, -1], "202692": [207, -1, -1], "120938": [114, -1, -1], "416193": [100, -1, -1], "143343": [100, -1, -1], "338139": [1, -1, -1], "265774": [207, -1, -1]}	EvoDevil	0:07:15
2017/8/23 14:07	10101	Ascension	258085.8094	{"111257": [10, "3355.9846365125622", "356.9858534013586"], "294372": [100, "6927.014429331867", -1], "140788": [207, "9027.73280309522", "21.934061404210948"], "169111": [100, "5680.032658634115", -1], "181697": [207, "5580.985215400438", "17.91052683987927"], "398673": [100, "10691.97853510303", -1], "300505": [100, "7905.050393663062", -1], "141880": [207, "4294.939332892809", "22.33929567930619"], "113683": [1, "6841.7023707007", "77.94045473098942"], "300508": [200, "4655.77125671387", "7.90098256043399"], "365012": [100, "6761.489995075872", -1], "109239": [100, "7563.75549242056", -1], "146133": [1, "6754.8608383231385", "103.98491887720305"], "107921": [214, "812.4233248023431", "1099.8377043165124"], "723542": [1, "8776.95346548762", "357.4491140427918"], "109230": [100, "8222.641333206164", -1], "114588": [114, "3884.2992140161587", -1], "107929": [20, "5787.430968109816", "31.907606982930444"], "257285": [100, "9350.283416485458", -1], "493615": [100, "9458.280094655222", -1], "115701": [114, "6533.997645124293", -1], "291099": [207, "8435.938901769341", "27.918380521467957"], "323824": [207, "6546.644737560106", "5.997214460988731"], "107927": [207, "6010.810105203774", "27.493115745658636"], "110133": [207, "6205.154523253862", "27.880165188174833"], "110197": [214, "45.94646720492517", "587.9170184072017"], "114519": [1, "7236.609090439732", "139.08540203533915"], "305141": [100, "6854.830219635276", -1], "251046": [207, "5089.624969049377", "1.8389612134214082"], "141321": [207, "7796.073420483746", "51.98669031279598"], "365025": [100, "5445.986923074913", -1], "109240": [207, "5121.628815657878", "16.916378811330355"], "300055": [114, "5475.577068276808", -1], "107951": [114, "5726.522653003918", -1], "202692": [207, "5234.882011838542", -1], "120938": [114, "5118.311478050215", -1], "190932": [100, "5824.340256400941", -1], "110127": [1, "7919.947019309769", "70.14324157344042"], "110125": [100, "9762.145993295157", -1], "113667": [100, "9367.22728939575", -1]}	Essantra	0:07:23
2017/8/24 2:36	10601	Levelz	212775.6654	{"109645": [207, "4751.429934709885", "17.947240764371565"], "116322": [107, "3769.4528384550295", "53.803691714088078"], "113311": [10, "5193.710254980392", "611.551462344847"], "109668": [1, "4077.711599280877", "197.29500623053034"], "108107": [207, "8981.864846381657", "2.3776866286574216"], "111690": [114, "4636.504772695494", "112.79884744116686"], "113849": [114, "4785.086802776863", "122.97899617989538"], "120758": [1, "7919.860500419525", "23.904099575154555"], "109392": [20, "4877.48789120034", "187.98283501640996"], "292239": [100, "9584.808431416195", -1], "109050": [20, "7174.8261272618765", "192.8514660594694"], "110522": [100, "5793.043169327924", -1], "110730": [107, "3613.86673278134", -1], "310193": [207, "5882.773432706718", "1.431316522285212"], "110526": [100, "5766.561479081403", -1], "110092": [207, "4197.062763433872", "2.9875725733774365"], "117993": [100, "3995.306590673799", -1], "112429": [1, "7005.258139552398", "32.570507123253999"], "110016": [214, "2698.8169390213416", "1026.6335825337674"], "115681": [107, "5375.503263424258", -1], "109367": [107, "5371.957814475351", -1], "108196": [214, "4991.241729073397", "54.780240001682987"], "109064": [107, "4154.071333774791", -1], "109678": [214, "2783.239588489378", "95.72905814883275"], "133967": [107, "6237.193637091722", -1], "109086": [107, "7472.872331664294", -1], "109616": [107, "6297.975419273305", -1], "108118": [207, "8064.9796799850865", "7.955895004186943"], "109069": [207, "4962.960177936758", "24.893381529076274"], "109081": [207, "7703.56664620814", "1.9966034468732137"], "108138": [107, "7116.235729809255", -1], "109387": [207, "4299.668595551685", "10.929504497193938"], "108162": [214, "2292.2216552966324", "63.746118233893508"], "110988": [214, "2695.948159486235", "166.39397977983803"], "109028": [100, "3386.820794841845", -1], "108135": [100, "4474.432685534524", "0.41776998837284809"], "387885": [107, "7302.62317442724", -1], "111413": [214, "3022.6480017743856", "52.646766786704898"], "407192": [107, "4064.4374629197027", -1], "110923": [214, "5999.634261318294", "166.2984811481695"]}	Spid	0:07:35
2017/8/22 11:19	10901	EasyMode	226517.9126	{"328733": [1, "6221.6544271010725", "95.9282390970141"], "347277": [114, "2960.191454642605", "33.82960373911112"], "113582": [1, "6722.338903899924", "13.914321919275983"], "194046": [207, "6291.183242178162", "14.99500885438489"], "112598": [1, "11472.483864924792", "55.945230422046069"], "144310": [100, "6709.506138148615", -1], "299356": [100, "7421.1424728743", -1], "107844": [114, "3932.9064124722577", "28.965509764976269"], "114436": [20, "6074.136669309072", "242.3616149089838"], "116674": [10, "3879.907876471214", "466.76130374050828"], "332927": [100, "5255.17831272078", -1], "514567": [214, "2460.325182384885", "412.21324152431046"], "113002": [214, "1985.9062790223907", "986.2173188996057"], "346339": [100, "5255.0369675114", -1], "126660": [114, "5253.19973318659", -1], "182576": [100, "5998.6061228119015", -1], "250087": [1, "7205.892769666489", "51.621078737137768"], "115262": [200, "2940.7221958172545", "163.8547997244505"], "116080": [1, "8891.6405185861", "22.846157816544609"], "111941": [114, "3690.9622612175335", "61.6319460308648"], "237266": [207, "4436.711526222246", "1.5335677545484888"], "201099": [100, "5930.091631116885", -1], "235726": [1, "9314.955141167458", "118.52095537666976"], "126254": [100, "6225.263996239907", -1], "110275": [100, "7867.727236550093", -1], "117628": [214, "799.894349810478", "748.6496578670605"], "175028": [207, "7010.556905682001", "8.523700170431006"], "111164": [207, "7270.296669022163", "8.946137648724739"], "367268": [1, "7651.313986963185", "41.96008091786536"], "110292": [100, "6381.882404498256", -1], "355345": [1, "6207.88521840729", "29.978694745364373"], "140119": [207, "3399.915198823863", "1.4752166800988667"], "330395": [20, "5094.038663645844", "315.7312551610284"], "160411": [100, "5561.746351562928", -1], "151684": [207, "4793.691520671736", "16.78816569616629"], "111918": [1, "6845.651493916166", "35.6089595833619"], "113527": [100, "4415.980636622489", -1], "601277": [207, "5746.802878268429", "12.641757899660297"], "397793": [100, "5588.401775439477", -1], "148649": [100, "5352.183251138409", -1]}	Winnah	0:07:54
2017/8/23 11:18	10101	Notorious	235689	{"109298": [207, -1, -1], "397575": [207, -1, -1], "128101": [100, -1, -1], "609729": [20, -1, -1], "111262": [207, -1, -1], "109295": [214, -1, -1], "398659": [114, -1, -1], "112694": [20, -1, -1], "303763": [207, -1, -1], "184055": [20, -1, -1], "370307": [1, -1, -1], "609743": [214, -1, -1], "107923": [10, -1, -1], "107944": [214, -1, -1], "359833": [100, -1, -1], "109254": [100, -1, -1], "107964": [207, -1, -1], "138334": [207, -1, -1], "137842": [207, -1, -1], "338103": [100, -1, -1], "123368": [100, -1, -1], "229412": [207, -1, -1], "111275": [214, -1, -1], "112683": [207, -1, -1], "112666": [100, -1, -1], "841047": [100, -1, -1], "111216": [207, -1, -1], "443975": [114, -1, -1], "743681": [114, -1, -1], "791455": [100, -1, -1], "352478": [207, -1, -1], "443985": [214, -1, -1], "735274": [20, -1, -1], "142857": [100, -1, -1], "151593": [100, -1, -1], "293246": [20, -1, -1], "375333": [207, -1, -1], "107918": [100, -1, -1], "185977": [207, -1, -1], "111228": [114, -1, -1]}	Kaiziel	0:08:02
2017/8/17 10:35	10901	Immortals	234041.0028	{"109417": [207, "6795.379394383967", "21.886475286212606"], "109431": [114, "4877.3802477517775", -1], "107854": [100, "5810.098542233151", -1], "117197": [207, "8371.16065244373", "20.896100772180515"], "112533": [100, "7449.937182643521", -1], "132035": [1, "10096.7492568102", "189.61032841778059"], "111983": [100, "5675.242006480417", -1], "152010": [207, "3671.9621475677004", "143.37307522643935"], "129658": [100, "6632.089543217739", -1], "246394": [207, "3580.4504466692747", "417.426620021936"], "111148": [100, "5156.331850427918", -1], "288780": [207, "7995.769599646469", "60.6973268401608"], "193000": [100, "6708.084764207736", "1.9802315536551374"], "107880": [114, "4975.200301469478", -1], "112505": [100, "8426.276464647013", -1], "107801": [10, "3036.300437325492", "625.5880060718607"], "110294": [100, "6868.868180411342", -1], "281983": [214, "511.1523137956385", "1847.9508457388208"], "383516": [100, "10796.302563544657", -1], "113514": [207, "7065.624881586737", "3.9825934176269848"], "121880": [100, "7398.103036740185", -1], "284124": [207, "7947.348037281919", "75.85275061114702"], "392194": [100, "5598.7153259117395", -1], "121341": [1, "7118.375971241866", "44.999507091736258"], "109425": [214, "466.38122341242407", "1223.8904209890086"], "109408": [114, "3917.9585466808057", -1], "114996": [100, "6457.348542400775", -1], "285838": [1, "5392.055359075594", "57.995073585006348"], "165904": [214, "1907.9690604621326", "232.0185665291814"], "141234": [207, "5308.678753955551", "20.94951447303164"], "110256": [114, "4802.4501829608635", -1], "109483": [214, "1396.734499617526", "326.5544258466455"], "109486": [207, "6740.599250242718", "47.81568051546433"], "114434": [1, "5894.349889995919", "119.29447625546647"], "107811": [207, "5842.433693020537", "1.9857754450841723"], "127030": [100, "8505.600820409012", -1], "265322": [207, "7050.613008697854", "9.954892339879994"], "147780": [207, "5055.551462559886", "11.914307268025189"], "112552": [100, "7766.192751411813", -1], "111178": [100, "4973.182596274347", -1]}	BrOb	0:08:10
2017/8/23 4:58	10601	Levelz	223452.2309	{"116322": [114, "4656.983160866049", "138.1371156514251"], "113311": [10, "5262.9070522260845", "513.8593782333962"], "109668": [1, "5620.352635245199", "259.95537816397867"], "111413": [207, "3890.4413952920936", "239.02378274289789"], "111690": [114, "5226.642382475622", "108.86670440522316"], "113849": [114, -1, -1], "316724": [100, "7047.605690524944", -1], "109092": [1, "7957.9074930393235", "25.837830835641826"], "120758": [1, "8412.690776219866", "21.85249605131239"], "109392": [20, "6385.6635457892735", "278.10019605438318"], "110737": [207, -1, -1], "109050": [20, "9469.055731710969", "235.94864678789106"], "109032": [207, "1880.8952392952176", "37.988103893131377"], "110522": [100, -1, -1], "110730": [114, "4419.674004381882", -1], "110526": [100, "6390.1575144980925", -1], "110092": [207, "5193.666753825667", "3.850072294661308"], "205141": [114, "2532.587360684744", "102.98653256567246"], "117993": [100, "8428.437924863192", -1], "112429": [1, "8825.915782632692", "44.88466943899139"], "110016": [207, "4216.574223463865", "336.77216490878205"], "115681": [100, "6624.937215478486", -1], "109367": [100, "7325.412929765646", -1], "108196": [207, "7096.2296140788685", "1.6983412469409898"], "109064": [107, "5053.992538944424", "100.89160163661995"], "109678": [207, "5325.809598112116", "66.63087439921313"], "133967": [100, "3711.8403629362538", -1], "109086": [100, "8693.805205773519", -1], "109616": [100, "7654.083808479207", -1], "108118": [207, "8227.302532348662", "9.956422568893883"], "109069": [207, "5129.249899460387", "26.802137311374854"], "109081": [207, "7740.446523075566", "2.0822629306530056"], "172093": [207, -1, -1], "108138": [100, "8314.22323432428", -1], "109387": [207, "4969.4461601241865", "15.993422768085967"], "392583": [214, "718.0004002820118", "1551.9654830435525"], "109028": [100, "4937.228238118746", -1], "387885": [100, "8601.708164529007", -1], "108107": [207, "9531.086089343105", "2.404479057550983"], "110923": [214, "7979.269738613848", "257.5334248791339"]}	Shenna	0:10:20
2017/8/22 22:21	10201	Imperial	215569	{"658372": [20, -1, -1], "133239": [214, -1, -1], "108845": [214, -1, -1], "202715": [100, -1, -1], "148302": [207, -1, -1], "409770": [100, -1, -1], "154597": [207, -1, -1], "113800": [100, -1, -1], "114816": [100, -1, -1], "205908": [114, -1, -1], "158321": [100, -1, -1], "213626": [100, -1, -1], "274624": [100, -1, -1], "109832": [20, -1, -1], "112035": [100, -1, -1], "526507": [207, -1, -1], "119960": [207, -1, -1], "268112": [107, -1, -1], "112350": [100, -1, -1], "418077": [207, -1, -1], "112056": [207, -1, -1], "108835": [100, -1, -1], "257856": [1, -1, -1], "112907": [114, -1, -1], "169326": [100, -1, -1], "736798": [114, -1, -1], "300274": [207, -1, -1], "112303": [100, -1, -1], "552551": [100, -1, -1], "109123": [214, -1, -1], "113168": [10, -1, -1], "383166": [207, -1, -1], "117351": [207, -1, -1], "109841": [100, -1, -1], "108864": [114, -1, -1], "110624": [100, -1, -1], "109867": [1, -1, -1], "216015": [214, -1, -1], "113133": [207, -1, -1], "109151": [114, -1, -1]}	Clow	0:10:50
2017/8/20 23:15	10201	IndoLeague	187147.5472	{"109515": [100, "8147.349968417312", -1], "109921": [207, "3923.7482739305283", "139.86172348550336"], "109597": [100, "4277.352077856187", "0.06291322977839788"], "111539": [100, "5846.082226435882", "0.927745775617517"], "310629": [1, "3979.6887990363743", "219.36552464226319"], "109986": [10, "2961.4060735594276", "607.2830626722592"], "895993": [114, -1, -1], "109133": [207, "3473.39530812247", "207.64988882185379"], "178211": [1, "4225.473971147411", "95.57488788848028"], "225475": [100, "5460.931593346508", -1], "111518": [1, "8955.330295681704", "58.90149931044559"], "344089": [100, "2848.6862426689454", -1], "109937": [214, "707.7386500951922", "1591.9369796153733"], "108861": [1, "8933.14319827803", "86.6050066973728"], "211123": [114, "3168.1981359728907", -1], "177308": [214, "731.8989743648698", "1357.7346427416974"], "110398": [214, "312.82408514579978", "899.9228655305562"], "108812": [207, "5588.4683070127085", "102.8719850382348"], "452891": [100, -1, -1], "109910": [207, "7738.965117206674", "1.9531355990018283"], "257856": [1, "3869.4630894569714", "70.56931590194411"], "109816": [214, "308.24224480682735", "519.0708829204898"], "109507": [207, "7205.357123146655", "13.995061488395708"], "109916": [10, -1, -1], "109188": [1, "5256.487883661833", "30.44239055272086"], "122409": [114, "3711.768675574275", -1], "148020": [100, "6452.2418830881725", -1], "109147": [214, "1289.9854761342212", "950.1115034632617"], "111063": [100, "6012.813389356713", "0.09674402432027288"], "109588": [10, "4448.874805206814", "380.8686269027949"], "109200": [207, "8183.218821351958", "4.993826014837316"], "110338": [100, "5938.194235978937", -1], "240824": [207, "6837.157104726374", "798.1192327346749"], "110891": [100, "4827.926046359475", -1], "111031": [20, "5401.574033704516", "41.97285100006315"], "109830": [100, "6984.371702132369", -1], "109587": [1, "8848.751778987356", "12.143433607452826"], "108823": [100, "7606.526575390091", -1], "108886": [100, "7515.916579469771", "0.6683594685843765"], "112782": [114, "5167.994461410832", -1]}	Moi	0:14:08
