role_id	role_name	server
443975	Phall	10101
110125	Siera	10101
110197	DocHaiden	10101
403823	ECHOOOO	10102
352478	Headache	10101
131992	Jyn	10101
143343	GForce	10101
194680	Brugoks	10101
554370	AngryaManyou	10101
110127	Raid	10101
493615	Yezi	10101
293246	BaalDrakith	10101
416193	NoLimit	10101
530679	Sertain	10102
141880	Pocahaunted	10101
715667	Overdose	10102
113619	Helot	10101
251046	Clooud	10101
141860	Rektified	10101
404187	Teetahh	10102
115701	Ramono	10101
107944	Jules	10101
365025	Ardi	10101
444040	yana	10102
107958	IhealZ	10101
109092	ava	10601
109291	Lobina	10101
347277	Basket	10901
401382	Wolf	10701
120848	KingRex	10901
109588	Moi	10201
109645	Icescream	10601
113002	LaLaila	10901
184055	Devourment	10101
169815	7even	10901
109086	S1nd1kaT	10601
231774	Orionia	10901
339545	Xenodor	10601
418077	RecoVN	10201
872896	Moller	10002
735274	Swooz	10101
677427	Guttershark	10101
450900	Khanum	10201
550141	PenjahaT	10201
111262	NurseWings	10101
374047	Spellcrit	10901
343269	Snugems	10002
172093	APPLE	10601
313125	Mageyoulook	10901
338103	Sykex	10101
112535	Roe	10901
196132	qitian	10901
117628	DemiGod	10901
841047	Starfall	10101
110292	GunDog	10901
110566	SirMisko	10601
370307	DarkMastr	10101
686620	RickRodeo	10701
112666	PunkNix	10101
387194	Aeryn	10901
436740	Powahfull	10901
108801	ThangCa	10201
108812	Falviez	10201
983512	NoGoul	10201
813011	Midori	10002
169326	Nighter	10201
113122	Delacroix	10201
114436	UrukHai	10901
410447	Kufy	10701
519260	DoGgeD	10102
347568	AyamBakar	10201
117993	Sadbutrue	10601
110717	Shelly	10601
112586	Potca	10901
109647	Dyer	10601
112560	Rozath	10901
119944	remuxx	10201
110588	Avenger	10601
109367	FeedEx	10601
108845	GoKhi	10201
110338	Sheinafa	10201
107903	GwandWizowd	10101
181697	Baluga	10101
302149	Aze	10002
108886	LowCaffeine	10201
597071	popcorn	10701
109921	GadisImpian	10201
517241	Chainz	10701
114816	Daysi	10201
128450	General	10601
108888	Aizen	10201
272683	ILike314	10101
289978	Aloery	10901
516788	Bjorn	10701
109193	Xerxes	10201
471248	rupii	10901
452891	ProDps	10201
148649	BRO	10901
121224	nyirorowetan	10201
114737	KierotheHero	10601
107921	Halie	10101
117613	Doctress	10901
195642	GasaiYuno	10201
108864	Gundam	10201
289303	ryohsien	10201
132035	Rek	10901
109298	Misty	10101
107927	Kate	10101
281983	Sabetha	10901
654401	Karken	10701
111526	Drakedog	10201
154597	SabreTy	10201
526507	Nikolas	10201
438725	Poba	10101
761691	Moorage	10201
446198	Nuk	10901
112350	Daxy	10201
279441	TheLaw	10901
111741	Apollo	10002
214157	Chaloops	10901
117197	Learning	10901
332927	Mogart	10901
112235	MagiCaster	10201
112489	Taldemmar	10601
267261	Brancier	10901
109108	xBadBoy	10201
145658	Laudus	10901
452676	PdiddyX	10102
157095	Smoker	10002
110265	Astre	10901
110737	Kaze	10601
346339	LordLoccoSin	10901
295233	HeIeyne	10901
539110	Lapuk	10201
162461	iMpulse	10901
109678	RobotStarMan	10601
260477	Robbowz	10601
109387	Icy	10601
111690	Flexion	10601
109352	C4unky	10601
447061	STRATIS	10102
117351	Medea	10201
403083	HaTa	10102
107951	SkyRen	10101
112429	Eleven	10601
327805	MonMon	10201
736798	Anhh	10201
323040	AsCyrA	10601
192980	BloodyKing	10901
112782	Excello	10201
109123	Clow	10201
148302	Potato	10201
244143	Tease	10901
165904	Seal	10901
111350	Sky	10201
113035	Zor	10901
867997	BABAisHERE	10201
466803	Reckless	10701
109830	Kid	10201
396930	997171991	10201
403145	Viik	10701
109489	Icarus	10901
392827	CamBamm	10101
108861	Aurora	10201
148020	ArrivaL	10201
659112	vMumu	10701
432006	Tezuka13	10201
420870	azerels	10601
226164	Sinbreaker	10901
274624	XinMaxwell	10201
123631	Humpell	10901
235521	Zizo	10901
397898	PoisonBerry	10901
113470	Dustypint	10201
528880	bLiSzMiX	10102
109936	Snoopy	10201
161743	GrandMasta	10101
397793	Shurley	10901
111490	JAYxJAY	10601
217036	iHunt	10901
109159	Alexander	10201
310629	Callysto	10201
109144	Vandemona	10201
112505	Entropy	10901
126254	Mmmohsan	10901
108823	WishMeLuck	10201
151094	Schneider	10201
294372	Ralf	10101
133239	CactusGaming	10201
375203	MMGladiator	10201
113311	Shenna	10601
115137	donnsnow	10201
370992	ValkX	10201
114996	Whitechoclat	10901
300505	EvoDevil	10101
120263	Mauritor	10901
201099	Ic3d	10901
111983	Beats	10901
111413	Maly	10601
347641	TigerClaws	10901
415199	Cristian	10701
355345	Lust4War	10901
844432	bmaannd	10901
121836	Indian	10901
110923	Denny	10601
144310	Mooshski	10901
110198	Margave	10101
111075	AniF	10201
577585	SheogoraT	10701
516585	Syumay	10201
111809	Wyrm	10201
113527	Eclipse	10901
115891	Geonisis	10201
458708	Akulata	10701
668463	H0ll0w	10102
153551	kagumi	10201
111199	Keyadrel	10901
300979	Kovac	10101
405822	Tancheno	10701
109452	Anvil	10901
111739	Red	10002
610710	Baeyum	10701
742706	VONC	10201
108118	ReVieN	10601
576102	Aireez	10601
110161	Allan	10101
108841	iDhavi	10201
215296	Lauruna	10601
140119	Neeves	10901
126306	xetrof	10901
292239	Windfall	10601
110294	Hemingway	10901
956009	SingoEdan	10201
109069	SnowQueen	10601
113537	Broccoli	10901
107844	Valens	10901
391628	Saschaa	10601
112035	MotoGP	10201
205908	Drift	10201
109230	ShakeYerHead	10101
831111	angelickille	10201
794036	Gonzo	10002
385286	DarkSD	10201
109239	Phoenix	10101
722473	Lubudu	10201
111031	Edenizer	10201
111148	Aris	10901
109188	Muy	10201
110530	Zanzil	10601
358260	Lucsss	10901
525445	Yolie	10701
108167	Adonis	10601
226569	Tsurugi	10901
478545	SGGHays	10101
136002	Warrick9	10901
108146	SmashlyB	10601
109524	tetz	10201
109197	EviLMac	10201
111146	Merllin	10901
111063	KilmarnocK	10201
263546	HellWizard	10002
114519	Vey9971	10101
109910	TTMP	10201
111228	Retain	10101
522879	shu	10201
257856	Carbuncle	10201
268112	MaximumJohn	10201
330395	ZarK	10901
658372	Mentos	10201
338296	48Palm84	10201
110134	Fasta	10101
158568	Yana	10101
108890	BernadeatH	10201
111711	Unknown	10002
108163	PrimeMage	10601
113168	xXMachineXx	10201
109147	Syrvys	10201
113800	d0o0b	10201
109867	Alkatar	10201
111941	GreatKhan	10901
169709	Wowvan	10601
116322	Hetfield	10601
404859	MsBoo	10701
110376	CestLaVie	10201
269358	kiiW	10201
406157	GrindNSmash	10101
107801	Guardian	10901
137842	Cheffy	10101
109916	Blackbeard	10201
108129	NeilDGTyson	10601
152172	LeMao	10201
162551	HighDrewlix	10201
232569	Eclyps	10901
420705	Zaik	10701
392583	Darkku	10601
109133	dhevee	10201
113849	Lalaby	10601
266421	BearKongz	10201
108707	Macross	10002
305226	Zerkedz	10201
316724	Balthazard	10601
374422	Shada	10601
109050	Spid	10601
516545	RawteL	10201
209294	Congo	10901
601277	Rot	10901
113133	AlenaJun	10201
137901	2EZ4ME	10201
109321	INSIDIOUS	10601
225475	Chitoge	10201
127248	Rendog	10901
178211	Pururin	10201
300055	Evojoy	10101
112518	Hodor	10901
393928	Crysl	10901
133967	TeaRs	10601
111257	Gib	10101
122409	teng	10201
110016	Jeneflower	10601
237266	Cbean138	10901
486690	EagleFire	10701
112626	PussPatrol	10101
415580	hellscream	10701
155401	xXSiMbadXx	10201
147780	Trump	10901
411340	Reingard	10701
702241	Pinz	10201
108196	BooBieZ	10601
340658	Renfa	10101
407192	nightcrawler	10601
109832	Brolly	10201
265774	AK47	10101
121341	Calvin	10901
109986	Attillius	10201
535590	WonderJew	10701
118698	Menace	10101
109816	WhitePotion	10201
399731	iAres	10901
748683	Soonora	10701
111906	Loki	10901
312630	Aidzla	10601
138235	Majestyk	10901
126660	MikkaX	10901
736783	- Hecate -	10201
109151	PALAUTOG	10201
511334	h3roo	10701
111842	Kyuzan	10201
288780	Gnaw	10901
578707	Nephilim	10102
109136	Papah	10201
113723	Chapchapters	10201
780820	SphyAion	10101
158321	Tekk	10201
173752	W4YNE	10601
447945	WarBaby	10701
743681	Pan&Pan	10101
117301	Ryke	10201
270323	Ceekei	10201
116310	Armaghedon	10601
768050	MadnessIRL	10701
285838	Imperious	10901
112907	Mental	10201
517353	m0rnee	10002
189757	Brekthar	10901
412998	Kijicho	10201
140918	Ash	10002
111448	Paul	10601
185977	Solbash	10101
261105	Xform	10201
146133	Voinkz	10101
208473	Zosimus	10002
107919	Miles	10101
112096	matt	10201
412500	Tysialee	10102
109515	Neko	10201
109841	Jabberwocky	10201
109186	Valor	10201
437488	Java	10701
396291	rupii	10201
112617	Slap	10101
240824	Henz	10201
121080	Naruto	10601
111191	Kinpadel	10901
114833	Lhula	10201
342860	iAlbert	10201
110908	Alazar	10601
723542	君莫哭	10101
361714	Zsun	10201
110536	Verle	10601
460038	Rayx	10701
111539	maury	10201
211123	AdeLight	10201
235726	BassturdKill	10901
812343	Rythlock	10201
109597	megumin	10201
107929	Essantra	10101
398673	Rhin	10101
112272	wei	10201
151593	Basil	10101
157200	Rizym	10201
398993	Crazyazn	10901
117838	TipeX	10201
109525	WinDRunneR	10201
110133	Yuki	10101
303763	Incarnaden	10101
383166	VaniVediVeci	10201
107918	Aeon	10101
744423	IamNoob	10201
574557	JX999	10201
107964	Priestitute	10101
107923	SouL	10101
352498	SharkbroHD	10101
112683	Hammurabi	10101
399956	Knaught	10102
141386	Rainz	10101
174842	LA92	10601
109676	DyNaMiTe	10601
109240	SkyKim	10101
120758	ishy	10601
895993	Azka	10201
123368	Coyote	10101
120938	Raider	10101
301457	Ears	10101
586634	Puika	10701
387885	Roggaa	10601
110113	Remedy	10101
359833	Vexic	10101
113769	Xaerkahn	10201
129163	jukka	10201
110733	Barette	10601
877438	Despair	10201
121880	Rhea	10901
120993	RiceIsLife	10101
114434	DPS	10901
